Model,Category,Pattern,Primary Applications,48V Phantom,Kit / Source,Notes
Shure SM57,Dynamic,Cardioid,"Snare, guitar cab, brass, perc, utility",No phantom,Standalone,
Shure SM58,Dynamic,Cardioid,Handheld vocals,No phantom,Standalone,
Shure Beta 52,Dynamic,Supercardioid,Kick drum — body/thump layer (inside),No phantom,Standalone,Pair with Beta 91 for 2-mic kick rig
Shure Beta 58,Dynamic,Supercardioid,Handheld vocals — higher off-axis rejection than SM58,No phantom,Standalone,
Sennheiser MD421,Dynamic,Cardioid,"Toms, guitar cabs, brass, woodwinds",No phantom,Standalone,5-position bass rolloff switch
Sennheiser e609,Dynamic,Supercardioid,"Guitar cab — side-address, hang over cab face",No phantom,Standalone,
Sennheiser e604,Dynamic,Cardioid,"Toms, snare — clip-on mount",No phantom,Standalone,
Audix D6,Dynamic,Cardioid,Kick drum — attack/click layer (inside),No phantom,Standalone + DP8,
Audix i5,Dynamic,Cardioid,"Snare — tight, punchy",No phantom,Audix DP8,
Audix D2,Dynamic,Cardioid,Small/mid toms,No phantom,Audix DP8,×2 in DP8
Audix D4,Dynamic,Cardioid,Floor tom — more low-end extension than D2,No phantom,Audix DP8,
Audio-Technica AE2500,Dynamic / Condenser,Cardioid,Kick drum — dual-element (dynamic + condenser) in one body; complete kick picture on two channels,48V req. (cond. element only),Standalone,"Two XLR outputs — dynamic for body/thump, condenser for attack/transient; blend on console or sum post-fader"
sE V-Kick,Dynamic,Dynamic,Kick drum — compact alternative,No phantom,sE V Pack Arena,
sE V-Beat,Dynamic,Dynamic,Toms — V-Clamp rim mount,No phantom,sE V Pack Arena,×3 in kit
sE V7 X,Dynamic,Supercardioid,Snare — dynamic instrument mic,No phantom,sE V Pack Arena,
Shure PG52,Dynamic,Cardioid,Bass cabinet (best use); floor tom; kick when the Beta 52/D6 are committed,No phantom,Standalone,"Discontinued (superseded by PGA52). 30Hz-13kHz, 300 ohm, -55 dBV/Pa, 470g. Curve humps 60-100Hz, dips 200-800Hz, rises 4-5kHz. Never boost the hump; never cut into the dip."
Lauten Snare Mic,SDC,Cardioid,"Snare drum — purpose-built FET condenser; studio, live, and touring",Requires 48V,Standalone,LS-408; 28dB off-axis rejection; onboard HP (flat/80Hz/140Hz) & LP (flat/12kHz/5kHz) filters; articulating swivel mount included
Schoeps CMC6 + MK4,SDC,Cardioid,"Classical overheads, acoustic soloists, spot mics",Requires 48V,Standalone,Interchangeable cap body
